matchstring,PLSSID,FRSTDIVNO,geo_state,type,status,submitted_date,nominator,ld_summary,subdivision,data_pulled_at,submitted_month,submitted_year,ld_township,ld_range,ld_section
UT260250S0172E001,UT260250S0172E0,01,UT,O&G Nomination (EOI),Unavailable: Closed to Leasing,2020-01-22,"Prairie Hills Oil and Gas, L.L.C.",UT T0250S-R0172E SALT LAKE MER Section: 001,ALL SUBDIVISIONS,2020-04-29T20:49:41Z,1,2020,0250S,0172E,01
UT260250S17.50000,UT260250S17.500,00,UT,O&G Nomination (EOI),Withdrawn,2020-01-20,"Prairie Hills Oil and Gas, L.L.C.",UT T0250S-R17.50E SALT LAKE MER Section: 001,ALL SUBDIVISIONS,2020-04-29T20:49:41Z,1,2020,0250S,17.50,00
