Geo. State,Type,Status,Submitted Date,Nominator,LD Summary,Subdivision,data_pulled_at
UT,O&G Nomination (EOI),Duplicate,02/28/2020,"Six For Six Land Services, Inc.",UT T0240S-R0010W SALT LAKE MER Section: 033,N2,2020-04-29T20:22:32Z
UT,O&G Nomination (EOI),Duplicate,02/28/2020,"Six For Six Land Services, Inc.",UT T0240S-R0020W SALT LAKE MER Section: 001,1-4,2020-04-29T20:22:32Z
UT,O&G Nomination (EOI),Duplicate,02/28/2020,"Six For Six Land Services, Inc.",UT T0250S-R0010W SALT LAKE MER Section: 001,ALL SUBDIVISIONS,2020-04-29T20:22:32Z
UT,O&G Nomination (EOI),Duplicate,01/22/2020,Prairie Hills Oil and Gas L.L.C.,UT T0260S-R0180E SALT LAKE MER Section: 033,S2 EXCLUDING CANYONLANDS NATIONAL PARK,2020-04-29T20:22:32Z
UT,O&G Nomination (EOI),Duplicate,01/22/2020,Prairie Hills Oil and Gas L.L.C.,UT T0260S-R0180E SALT LAKE MER Section: 033,"S2SWNW, S2SENW, S2SWNE, S2SENE",2020-04-29T20:22:32Z
UT,O&G Nomination (EOI),Duplicate,01/22/2020,Prairie Hills Oil and Gas L.L.C.,UT T0260S-R0180E SALT LAKE MER Section: 035,S2 EXCLUDING NATIONAL PARK,2020-04-29T20:22:32Z
UT,O&G Nomination (EOI),Duplicate,03/02/2020,Nominator,UT T0260S-R0230E SALT LAKE MER Section: 019,S2,2020-04-29T20:22:32Z
UT,O&G Nomination (EOI),Duplicate,03/02/2020,Nominator,UT T0260S-R0230E SALT LAKE MER Section: 021,SE,2020-04-29T20:22:32Z
UT,O&G Nomination (EOI),Duplicate,01/22/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0270S-R0200E SALT LAKE MER Section: 004,NWSW,2020-04-29T20:22:32Z
UT,O&G Nomination (EOI),Leased,01/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0170E SALT LAKE MER Section: 021,W2,2020-04-29T20:22:32Z
UT,O&G Nomination (EOI),Leased,01/22/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0250S-R0200E SALT LAKE MER Section: 034,SESW,2020-04-29T20:22:32Z
UT,O&G Nomination (EOI),Leased,01/15/2020,Nominator,UT T0290S-R0220E SALT LAKE MER Section: 004,SESE,2020-04-29T20:22:32Z
UT,O&G Nomination (EOI),Pending,02/18/2020,"Turner Petroleum Land Services, Inc.",UT T0090N-R0130W SALT LAKE MER Section: 006,ALL SUBDIVISIONS,2020-04-29T20:22:32Z
UT,O&G Nomination (EOI),Pending,02/18/2020,"Turner Petroleum Land Services, Inc.",UT T0090N-R0130W SALT LAKE MER Section: 018,ALL SUBDIVISIONS,2020-04-29T20:22:32Z
UT,O&G Nomination (EOI),Pending,01/16/2020,"Robert L Bayless, Producer LLC",UT T0090S-R0170E SALT LAKE MER Section: 033,ALL SUBDIVISIONS,2020-04-29T20:22:32Z
UT,O&G Nomination (EOI),Pending,01/16/2020,"Robert L Bayless, Producer LLC",UT T0090S-R0170E SALT LAKE MER Section: 034,ALL SUBDIVISIONS,2020-04-29T20:22:32Z
UT,O&G Nomination (EOI),Pending,01/27/2020,"Robert L. Bayless, Producer LLC",UT T0090S-R0180E SALT LAKE MER Section: 033,"N2NE, N2NW",2020-04-29T20:22:32Z
UT,O&G Nomination (EOI),Pending,02/18/2020,"Turner Petroleum Land Services, Inc.",UT T0100N-R0130W SALT LAKE MER Section: 031,Land within Old Railroad Grade,2020-04-29T20:22:32Z
UT,O&G Nomination (EOI),Pending,03/02/2020,Ram Land Services,UT T0160S-R0020E SALT LAKE MER Section: 013,"E2NW, N2SW",2020-04-29T20:22:32Z
UT,O&G Nomination (EOI),Pending,03/02/2020,Ram Land Services,UT T0160S-R0020E SALT LAKE MER Section: 014,NWNW,2020-04-29T20:22:32Z
UT,O&G Nomination (EOI),Pending,03/02/2020,Ram Land Services,UT T0160S-R0020E SALT LAKE MER Section: 015,1-7,2020-04-29T20:22:32Z
UT,O&G Nomination (EOI),Pending,03/02/2020,Ram Land Services,UT T0160S-R0020E SALT LAKE MER Section: 015,"NENE, S2NE, E2SW, N2SE, SWSE",2020-04-29T20:22:32Z
UT,O&G Nomination (EOI),Pending,03/02/2020,Ram Land Services,UT T0180S-R0020E SALT LAKE MER Section: 005,4,2020-04-29T20:22:32Z
UT,O&G Nomination (EOI),Pending,03/02/2020,Ram Land Services,UT T0180S-R0020E SALT LAKE MER Section: 005,"SWNW, W2SW, SESW, W2SE, SESE",2020-04-29T20:22:32Z
UT,O&G Nomination (EOI),Pending,03/02/2020,Ram Land Services,UT T0180S-R0020E SALT LAKE MER Section: 006,1-5,2020-04-29T20:22:32Z
UT,O&G Nomination (EOI),Pending,03/02/2020,Ram Land Services,UT T0180S-R0020E SALT LAKE MER Section: 006,"S2NE, SENW",2020-04-29T20:22:32Z
UT,O&G Nomination (EOI),Pending,02/21/2020,Nominator,UT T0200S-R0010W SALT LAKE MER Section: 004,ALL SUBDIVISIONS,2020-04-29T20:22:32Z
UT,O&G Nomination (EOI),Pending,02/21/2020,Nominator,UT T0200S-R0010W SALT LAKE MER Section: 005,ALL SUBDIVISIONS,2020-04-29T20:22:32Z
UT,O&G Nomination (EOI),Pending,02/21/2020,Nominator,UT T0200S-R0010W SALT LAKE MER Section: 008,ALL SUBDIVISIONS,2020-04-29T20:22:32Z
UT,O&G Nomination (EOI),Pending,02/21/2020,Nominator,UT T0200S-R0010W SALT LAKE MER Section: 009,ALL SUBDIVISIONS,2020-04-29T20:22:32Z
UT,O&G Nomination (EOI),Pending,02/21/2020,Nominator,UT T0200S-R0010W SALT LAKE MER Section: 017,"NE, NENW, S2NW, S2",2020-04-29T20:22:32Z
